validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
LOSO,residual,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,H,-0.01870425017165034,0.41235276377594543,0.6539126898192301,20.257290058314453,4.003594030587308
LOSO,residual,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,SpatialResidual,0.35182191822109277,0.37284353439344237,0.5216063585178693,27.8977699954887,23.42657280079612
LOSO,residual,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,ZeroResidual,-0.0024989779519606348,0.4858687325390611,0.5448776926146792,0.0,0.0
LOSO,residual,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,H,0.4806877612879843,0.3014298943706926,0.3921672635678782,37.96063130148855,28.026551851296503
LOSO,residual,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,SpatialResidual,0.6041436498972689,0.27246398008446393,0.3423937802708449,43.92230620385531,37.161351086366594
LOSO,residual,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,ZeroResidual,-0.009661211263913172,0.5438291076133083,0.6462523540285969,0.0,0.0
LOSO,residual,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,H,0.39316995970728863,0.3827467969454434,0.5010116653745329,29.62002371936352,22.474299358240646
LOSO,residual,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,SpatialResidual,0.5699790265380257,0.33890252603446164,0.42175391339283574,37.6821649871232,34.73851031045174
LOSO,residual,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,ZeroResidual,-0.0005017922666441521,0.5599655287155381,0.6630630325025796,0.0,0.0
LOSO,residual,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,H,0.36342141878211376,0.3821613107375906,0.5288979589220494,31.752707775744504,20.23413567095648
LOSO,residual,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,SpatialResidual,0.6657226447058342,0.30441066474162554,0.3832651745449367,45.637606400542225,42.19777671839281
LOSO,residual,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,ZeroResidual,-0.010665212730551099,0.47236781180723825,0.5421461904585375,0.0,0.0
LOSO,residual,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,H,0.4734411021030558,0.29793778844900587,0.3913237707415952,36.926737808589934,27.819511115512853
LOSO,residual,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,SpatialResidual,0.4211654504944832,0.28390975629244347,0.41028909529782454,39.89646432380111,24.321317290672212
LOSO,residual,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,ZeroResidual,-0.047376967874575016,0.5583123442749028,0.6593802009957712,0.0,0.0
LOSO,residual,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,H,0.45271964861199965,0.36941601638174887,0.47663872155525977,33.833450008790216,27.714128990306673
LOSO,residual,50,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,SpatialResidual,0.4833254257809717,0.3596907247782202,0.46311936171232926,35.57535876349618,29.76444227276709
LOSO,residual,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,ZeroResidual,-8.243294518650579e-05,0.5596123029529683,0.689323077222039,0.0,0.0
LOSO,residual,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,H,0.23559063930442203,0.43151802726740746,0.6026538246069161,22.889824796494207,12.573096053072623
LOSO,residual,50,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,SpatialResidual,0.5255112678529668,0.38033617925332364,0.47480782810747213,32.03577240057776,31.11969643886868
LOSO,residual,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,ZeroResidual,-0.022035542879772718,0.5741123277799223,0.7661407570796712,0.0,0.0
LOSO,residual,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,H,0.1426297163884328,0.4561642231944958,0.7017134166579424,20.54442987516551,8.409334685092206
LOSO,residual,50,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,SpatialResidual,0.4678166482672229,0.37325084728674635,0.5528485935101701,34.98644268272415,27.839814237597174
LOSO,residual,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,ZeroResidual,-0.020244644769771947,0.6123130915902041,0.7445618625005397,0.0,0.0
LOSO,residual,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,H,0.4171876891842654,0.4226361881252184,0.5627467347833602,30.97711057792124,24.41907608678354
LOSO,residual,50,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,SpatialResidual,0.5392059444662263,0.39632700867065224,0.5003824385618897,35.27379797786561,32.795048502564555
LOSO,increment,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,Persistence,-0.351585327354317,0.3307598985915493,0.44486235255778284,0.0,0.0
LOSO,increment,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,N,0.19438976302486877,0.2701095288370246,0.34345228338255496,18.33667564078588,22.795830798484076
LOSO,increment,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,N+H,0.1937512131553999,0.26943112951843984,0.3435883715054082,18.54177889588831,22.76523973541236
LOSO,increment,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,Spatial,0.20233373003980548,0.2674669773047609,0.3417547298735083,19.135609109902393,23.177421530827775
LOSO,increment,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,Persistence,-0.39021156061058293,0.3318993577464789,0.45242612766269896,0.0,0.0
LOSO,increment,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,N,0.2803852026445546,0.24792415273371884,0.32550470635879075,25.301406300672763,28.053512726951304
LOSO,increment,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,N+H,0.2814928925244501,0.24790115058952822,0.32525408816174045,25.308336758250867,28.108907007194365
LOSO,increment,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,Spatial,0.2696638587770026,0.24993562922469373,0.327920544156179,24.69535617010537,27.519538747625923
LOSO,increment,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,Persistence,-0.34118761670379816,0.29775665352112674,0.398316675205595,0.0,0.0
LOSO,increment,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N,0.2246258552106648,0.22801181776119048,0.30285822891483677,23.423434853652278,23.965465729368834
LOSO,increment,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N+H,0.22537762346846113,0.22718617863601792,0.3027113743812443,23.70072139466117,24.002334518132614
LOSO,increment,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,Spatial,0.22761883387906745,0.22727469674314432,0.30227314063859473,23.670993055737547,24.11235595834055
LOSO,increment,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,Persistence,-0.4194668092544884,0.3150831323943662,0.4256702558266778,0.0,0.0
