iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
2510,105,14,61864,0.0589981,0.383301,0.324303,23,0.359375,1.96854,6.93965
2520,105,24,62405,0.059514,0.399414,0.3399,23,0.359375,1.95338,6.81779
2530,106,10,63664,0.0607147,0.387451,0.326736,23,0.359375,1.94631,7.11987
2540,106,20,64549,0.0615587,0.385437,0.323878,24,0.375,1.93486,7.22128
2550,107,6,65638,0.0625973,0.387817,0.32522,23,0.359375,1.91999,7.1465
2560,107,16,65805,0.0627565,0.382751,0.319995,24,0.375,1.9022,7.45882
2570,108,2,66914,0.0638142,0.385803,0.321989,24,0.375,1.89973,7.39021
2580,108,12,67038,0.0639324,0.394348,0.330416,24,0.375,1.8902,7.72816
2590,108,22,66772,0.0636787,0.379883,0.316204,24,0.375,1.87795,7.76499
2600,109,8,66889,0.0637903,0.38092,0.31713,23,0.359375,1.86888,7.23974
2610,109,18,67454,0.0643291,0.382812,0.318483,24,0.375,1.85259,7.90528
2620,110,4,69159,0.0659552,0.383484,0.317529,24,0.375,1.8438,7.55507
2630,110,14,68404,0.0652351,0.362305,0.29707,24,0.375,1.83301,7.25197
2640,110,24,69319,0.0661077,0.362854,0.296746,24,0.375,1.81758,7.56736
2650,111,10,70168,0.0669174,0.363464,0.296547,25,0.390625,1.80243,7.20384
2660,111,20,70254,0.0669994,0.369141,0.302141,25,0.390625,1.79481,7.58477
2670,112,6,70261,0.0670061,0.372559,0.305552,25,0.390625,1.79889,7.2704
2680,112,16,69865,0.0666285,0.354675,0.288047,25,0.390625,1.79264,7.29907
2690,113,2,70644,0.0673714,0.366821,0.29945,24,0.375,1.78357,7.87149
2700,113,12,71489,0.0681772,0.372131,0.303954,25,0.390625,1.77656,7.5049
2710,113,22,71667,0.068347,0.36499,0.296643,25,0.390625,1.76499,7.66976
2720,114,8,73040,0.0696564,0.373779,0.304123,24,0.375,1.75085,8.11827
2730,114,18,73692,0.0702782,0.380371,0.310093,24,0.375,1.74282,7.83565
2740,115,4,74548,0.0710945,0.357056,0.285961,24,0.375,1.72586,8.62413
2750,115,14,75260,0.0717735,0.368225,0.296452,24,0.375,1.72085,8.50739
2760,115,24,75607,0.0721045,0.371155,0.29905,24,0.375,1.71179,7.95139
2770,116,10,77372,0.0737877,0.365784,0.291996,25,0.390625,1.69819,8.7808
2780,116,20,77264,0.0736847,0.360962,0.287277,25,0.390625,1.6865,8.2903
2790,117,6,77977,0.0743647,0.359253,0.284888,25,0.390625,1.67969,9.03373
2800,117,16,78269,0.0746431,0.352478,0.277835,25,0.390625,1.66708,8.70093
2810,118,2,79411,0.0757322,0.353699,0.277966,25,0.390625,1.66558,8.88013
2820,118,12,80054,0.0763454,0.354797,0.278452,25,0.390625,1.65505,8.66918
2830,118,22,80215,0.076499,0.3479,0.271401,25,0.390625,1.64649,8.4183
2840,119,8,81056,0.077301,0.349792,0.272491,26,0.40625,1.63575,8.81971
2850,119,18,82211,0.0784025,0.353882,0.275479,26,0.40625,1.63617,8.98867
2860,120,4,81968,0.0781708,0.365479,0.287308,26,0.40625,1.6282,8.8791
2870,120,14,83146,0.0792942,0.361633,0.282339,26,0.40625,1.62454,9.08595
2880,120,24,84283,0.0803785,0.380432,0.300054,26,0.40625,1.62038,9.2713
2890,121,10,84441,0.0805292,0.392273,0.311744,26,0.40625,1.61228,8.92416
2900,121,20,84407,0.0804968,0.395081,0.314584,26,0.40625,1.60799,8.91085
2910,122,6,86204,0.0822105,0.398804,0.316593,26,0.40625,1.598,9.90314
2920,122,16,87659,0.0835981,0.395752,0.312154,26,0.40625,1.58903,9.80582
2930,123,2,88429,0.0843325,0.389587,0.305255,26,0.40625,1.58566,10.2543
2940,123,12,89243,0.0851088,0.38562,0.300511,27,0.421875,1.58402,10.0884
2950,123,22,89832,0.0856705,0.390869,0.305199,27,0.421875,1.57032,10.199
2960,124,8,90179,0.0860014,0.390991,0.30499,27,0.421875,1.56296,10.199
2970,124,18,91461,0.087224,0.387817,0.300593,27,0.421875,1.55215,10.752
2980,125,4,92857,0.0885553,0.371643,0.283088,27,0.421875,1.53616,10.9916
2990,125,14,93991,0.0896368,0.387268,0.297631,28,0.4375,1.53247,10.8595
3000,125,24,95178,0.0907688,0.396667,0.305899,26,0.40625,1.5281,10.9302
3010,126,10,96208,0.0917511,0.37146,0.279709,29,0.453125,1.52265,11.3807
3020,126,20,96810,0.0923252,0.381226,0.2889,29,0.453125,1.52148,11.0295
3030,127,6,97288,0.0927811,0.378967,0.286186,30,0.46875,1.51302,11.5446
3040,127,16,96602,0.0921268,0.369324,0.277197,30,0.46875,1.505,11.4401
3050,128,2,96087,0.0916357,0.363159,0.271523,31,0.484375,1.49491,11.1135
3060,128,12,96857,0.09237,0.362,0.269629,32,0.5,1.48063,10.8319
3070,128,22,96772,0.092289,0.361084,0.268795,32,0.5,1.47613,11.1698
3080,129,8,97517,0.0929995,0.364624,0.271625,31,0.484375,1.46906,10.8954
3090,129,18,98719,0.0941458,0.370728,0.276582,32,0.5,1.45782,11.4647
3100,130,4,99104,0.0945129,0.371582,0.277069,32,0.5,1.45224,11.5333
3110,130,14,99587,0.0949736,0.377319,0.282346,32,0.5,1.45125,11.7135
3120,130,24,100900,0.0962257,0.382874,0.286648,32,0.5,1.4467,11.7064
3130,131,10,102310,0.0975704,0.38324,0.285669,32,0.5,1.43648,11.7617
3140,131,20,102766,0.0980053,0.388733,0.290728,32,0.5,1.42478,12.1528
3150,132,6,103708,0.0989037,0.382812,0.283909,32,0.5,1.41926,12.1651
3160,132,16,104540,0.0996971,0.399719,0.300022,32,0.5,1.4174,12.6003
3170,133,2,105532,0.100643,0.393311,0.292667,33,0.515625,1.4078,12.158
